Date,Open,High,Low,Close
2026-06-17,77080.09,77218.99,76774.11,76996.92
2026-06-16,76526.77,76845.68,76448.42,76808.48
2026-06-15,76725.27,76821.07,76140.44,76264.33
2026-06-12,74709.27,75608.02,74453.39,75527.95
2026-06-11,73615.99,74394.34,73518.75,73832.55
2026-06-10,73988.27,74613.01,73897.57,73983.18
2026-06-09,74035.41,74035.41,73426.18,73918.76
2026-06-08,73421.61,73934.35,73318.94,73524.26
2026-06-05,74629.94,74717.57,73988.75,74243.34
2026-06-04,73935.83,74544.24,73807.30,74360.01
2026-06-03,74507.73,74515.65,73492.60,74346.17
2026-06-02,73945.20,74862.19,73815.12,74649.84
2026-06-01,75203.02,75367.93,74203.68,74267.34
2026-05-29,75988.51,76220.02,74589.11,74775.74
2026-05-27,75939.86,76224.68,75748.21,75867.80
2026-05-26,76224.14,76627.04,75909.68,76009.70
2026-05-25,76135.82,76559.07,76097.02,76488.96
2026-05-22,75260.39,75810.97,75230.75,75415.35
2026-05-21,75732.42,75945.79,74996.78,75183.36
2026-05-20,74806.49,75406.18,74529.41,75318.39
2026-05-19,75441.27,75746.27,75115.99,75200.85
2026-05-18,74807.97,75466.60,74180.26,75315.04
